step,train_perplexity,val_perplexity
1,257.481201,259.245391
2,258.402442,259.245391
3,259.799778,259.245391
4,260.274308,259.245391
5,258.217069,259.245391
6,259.434583,259.266493
7,259.486422,259.266493
8,258.248961,259.266493
9,257.096829,259.266493
10,262.050001,259.266493
11,260.491465,259.281997
12,259.362966,259.281997
13,260.421418,259.281997
14,260.012447,259.281997
15,260.732920,259.281997
16,258.424006,259.462938
17,257.334893,259.462938
18,257.586319,259.462938
19,261.241043,259.462938
20,260.179507,259.462938
