step,train_perplexity,val_perplexity
1,259.385228,259.884747
2,256.029791,259.884747
3,260.147500,259.884747
4,258.179641,259.884747
5,264.243597,259.884747
6,261.857640,255.670565
7,259.165534,255.670565
8,263.023456,255.670565
9,257.449772,255.670565
10,261.242413,255.670565
11,262.096488,263.852089
12,260.766366,263.852089
13,258.324828,263.852089
14,258.843191,263.852089
15,258.872321,263.852089
16,258.598800,258.527438
17,261.745911,258.527438
18,258.437684,258.527438
19,257.501706,258.527438
20,258.611624,258.527438
