step,tokens_per_sec,bytes_per_sec,patches_per_sec,samples_per_sec
1,301.98,301.98,301.98,18.87
2,271.73,271.73,271.73,16.98
3,312.17,312.17,312.17,19.51
4,307.44,307.44,307.44,19.21
5,304.30,304.30,304.30,19.02
6,269.39,269.39,269.39,16.84
7,284.20,284.20,284.20,17.76
8,345.41,345.41,345.41,21.59
9,349.07,349.07,349.07,21.82
10,273.08,273.08,273.08,17.07
11,4.35,4.35,4.35,0.27
12,262.35,262.35,262.35,16.40
13,321.31,321.31,321.31,20.08
14,315.30,315.30,315.30,19.71
15,347.80,347.80,347.80,21.74
16,248.98,248.98,248.98,15.56
17,166.10,166.10,166.10,10.38
18,147.39,147.39,147.39,9.21
19,298.21,298.21,298.21,18.64
20,297.58,297.58,297.58,18.60
